team,decimal_odds,source
Spain,5.5,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
France,5.88,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
England,8.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Portugal,9.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Brazil,10.25,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Argentina,10.25,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Germany,15.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Netherlands,21.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Norway,32.5,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Belgium,37.5,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Colombia,41.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Morocco,46.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Japan,53.5,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
United States,56.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Mexico,66.5,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Switzerland,66.5,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Uruguay,66.5,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Turkey,79.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Senegal,79.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Ecuador,81.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Croatia,86.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Sweden,111.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Austria,151.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Canada,176.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Scotland,226.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Ivory Coast,226.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Czech Republic,251.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Paraguay,276.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Egypt,276.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Algeria,301.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
South Korea,326.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Bosnia and Herzegovina,376.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Ghana,401.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Tunisia,501.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Australia,551.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Iran,601.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
DR Congo,876.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
South Africa,1001.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Cape Verde,1001.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Saudi Arabia,1001.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Panama,1001.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Qatar,1251.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
New Zealand,1251.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Iraq,1251.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Uzbekistan,1251.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Jordan,1751.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Curaçao,2501.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
Haiti,2501.0,median of BetMGM (Yahoo 2026-06-10) and DraftKings (ESPN 2026-06-11)
