team,p_pure,p_blend,p_market,delta_elo
Spain,0.26924,0.21384,0.1515102523280899,-46.0
Argentina,0.1912,0.13126,0.08129818417604823,-70.0
France,0.09392,0.12236,0.14171877343613848,48.0
England,0.06056,0.08648,0.1041632984755618,52.0
Brazil,0.04462,0.0646,0.08129818417604823,61.0
Portugal,0.03076,0.0616,0.09258959864494382,82.0
Germany,0.01856,0.03552,0.05555375918696629,94.0
Mexico,0.06258,0.03286,0.012530923124879613,-94.0
Colombia,0.04006,0.03086,0.020324546044012057,-43.0
Netherlands,0.0195,0.03012,0.03968125656211878,66.0
Norway,0.01084,0.01886,0.025640196547830597,76.0
Ecuador,0.02746,0.01846,0.010287733182771534,-40.0
Japan,0.0147,0.01722,0.015575820332794286,25.0
Morocco,0.01226,0.01646,0.018115356256619444,37.0
Belgium,0.00978,0.01608,0.02222150367478652,66.0
Uruguay,0.01218,0.01318,0.012530923124879613,18.0
Switzerland,0.01084,0.01316,0.012530923124879613,31.0
Canada,0.02308,0.01236,0.004734695385252809,-69.0
Turkey,0.01076,0.0111,0.010548182124107523,10.0
Croatia,0.01008,0.01088,0.009689609160517376,14.0
United States,0.0058,0.00946,0.01488047121079454,63.0
Senegal,0.00312,0.00704,0.010548182124107523,82.0
Paraguay,0.00384,0.00382,0.0030192260427699073,3.0
Austria,0.00176,0.00302,0.005518585349698638,63.0
Australia,0.0025,0.00276,0.0015123527909337465,-1.0
South Korea,0.00218,0.00246,0.0025561545638174673,31.0
Iran,0.0026,0.00246,0.0013865330911888426,-6.0
Algeria,0.00154,0.00202,0.002768459760147822,36.0
Scotland,0.00048,0.00194,0.003687196406214577,99.0
Sweden,0.00012,0.00144,0.007507264754995444,207.0
Czech Republic,0.00036,0.00138,0.0033199457681453957,122.0
Egypt,0.00024,0.00118,0.0030192260427699073,107.0
Panama,0.00172,0.00116,0.0008324739138906037,-12.0
Ivory Coast,0.00032,0.00106,0.003687196406214577,121.0
Uzbekistan,0.00022,0.00034,0.0006661122204672217,50.0
Tunisia,2e-05,0.00022,0.0016632862032025834,171.0
Jordan,6e-05,0.00016,0.0004759031340973697,84.0
Iraq,4e-05,0.00012,0.0006661122204672217,143.0
Bosnia and Herzegovina,0.0,0.0001,0.002216240393097059,255.0
DR Congo,4e-05,0.0001,0.00095126299977682,119.0
Saudi Arabia,2e-05,0.0001,0.0008324739138906037,188.0
New Zealand,2e-05,8e-05,0.0006661122204672217,123.0
Cape Verde,0.0,8e-05,0.0008324739138906037,218.0
South Africa,0.0,8e-05,0.0008324739138906037,212.0
Ghana,0.0,8e-05,0.002078070792529911,286.0
Haiti,2e-05,6e-05,0.00033318927941003375,107.0
Curaçao,0.0,2e-05,0.00033318927941003375,212.0
Qatar,0.0,0.0,0.0006661122204672217,287.0
